,County,County Code,Avg Daily Precipitation (mm),# of Observations for Daily Precipitation,State,FIPS
193,"San Diego County, CA",6073,0.98,460215, CA,06073
194,"San Francisco County, CA",6075,1.54,7305, CA,6075
195,"San Joaquin County, CA",6077,1.08,168015, CA,06077
196,"San Luis Obispo County, CA",6079,1.15,379860, CA,06079
197,"San Mateo County, CA",6081,1.9,58440, CA,06081
198,"Santa Barbara County, CA",6083,1.53,299505, CA,06083
199,"Santa Clara County, CA",6085,1.48,153405, CA,06085
200,"Santa Cruz County, CA",6087,2.61,58440, CA,06087
201,"Shasta County, CA",6089,3.41,445605, CA,06089
202,"Sierra County, CA",6091,3.04,124185, CA,06091
203,"Siskiyou County, CA",6093,2.74,832770, CA,06093
204,"Solano County, CA",6095,1.54,94965, CA,06095
205,"Sonoma County, CA",6097,2.91,204540, CA,06097
206,"Stanislaus County, CA",6099,0.96,189930, CA,06099
207,"Sutter County, CA",6101,1.37,65745, CA,06101
208,"Tehama County, CA",6103,2.5,394470, CA,06103
209,"Trinity County, CA",6105,3.69,379860, CA,06105
210,"Tulare County, CA",6107,1.35,606315, CA,06107
211,"Tuolumne County, CA",6109,2.91,277590, CA,06109
212,"Ventura County, CA",6111,1.41,226455, CA,06111
213,"Yolo County, CA",6113,1.44,116880, CA,06113
214,"Yuba County, CA",6115,2.72,102270, CA,06115
215,"Adams County, CO",8001,1.05,146100, CO,08001
216,"Alamosa County, CO",8003,0.68,80355, CO,08003
217,"Arapahoe County, CO",8005,1.14,138795, CO,08005
218,"Archuleta County, CO",8007,1.65,160710, CO,08007
219,"Baca County, CO",8009,1.2,328725, CO,08009
220,"Bent County, CO",8011,1.02,182625, CO,08011
221,"Boulder County, CO",8013,1.44,109575, CO,08013
222,"Chaffee County, CO",8015,1.19,124185, CO,08015
223,"Cheyenne County, CO",8017,1.23,197235, CO,08017
224,"Clear Creek County, CO",8019,1.75,65745, CO,08019
225,"Conejos County, CO",8021,1.17,146100, CO,08021
226,"Costilla County, CO",8023,1.19,153405, CO,08023
227,"Crowley County, CO",8025,0.91,87660, CO,08025
228,"Custer County, CO",8027,1.43,102270, CO,08027
229,"Delta County, CO",8029,1.27,160710, CO,08029
230,"Denver County, CO",8031,1.08,7305, CO,8031
231,"Dolores County, CO",8033,1.57,124185, CO,08033
232,"Douglas County, CO",8035,1.25,94965, CO,08035
233,"Eagle County, CO",8037,1.54,197235, CO,08037
234,"Elbert County, CO",8039,1.16,182625, CO,08039
235,"El Paso County, CO",8041,1.13,277590, CO,08041
236,"Fremont County, CO",8043,0.98,219150, CO,08043
237,"Garfield County, CO",8045,1.69,372555, CO,08045
238,"Gilpin County, CO",8047,1.63,14610, CO,08047
239,"Grand County, CO",8049,1.85,262980, CO,08049
240,"Gunnison County, CO",8051,1.5,423690, CO,08051
241,"Hinsdale County, CO",8053,1.89,138795, CO,08053
242,"Huerfano County, CO",8055,1.26,204540, CO,08055
243,"Jackson County, CO",8057,1.93,204540, CO,08057
244,"Jefferson County, CO",8059,1.29,102270, CO,08059
245,"Kiowa County, CO",8061,1.12,241065, CO,08061
246,"Kit Carson County, CO",8063,1.32,321420, CO,08063
247,"Lake County, CO",8065,1.7,65745, CO,08065
248,"La Plata County, CO",8067,1.54,204540, CO,08067
249,"Larimer County, CO",8069,1.52,343335, CO,08069
250,"Las Animas County, CO",8071,1.11,547875, CO,08071
251,"Lincoln County, CO",8073,1.1,357945, CO,08073
252,"Logan County, CO",8075,1.23,284895, CO,08075
253,"Mesa County, CO",8077,1.29,401775, CO,08077
254,"Mineral County, CO",8079,1.86,116880, CO,08079
255,"Moffat County, CO",8081,1.1,591705, CO,08081
256,"Montezuma County, CO",8083,1.17,233760, CO,08083
257,"Montrose County, CO",8085,1.11,262980, CO,08085
258,"Morgan County, CO",8087,1.07,146100, CO,08087
259,"Otero County, CO",8089,0.98,153405, CO,08089
260,"Ouray County, CO",8091,1.41,73050, CO,08091
261,"Park County, CO",8093,1.09,241065, CO,08093
262,"Phillips County, CO",8095,1.29,109575, CO,08095
263,"Pitkin County, CO",8097,2.05,138795, CO,08097
264,"Prowers County, CO",8099,1.18,219150, CO,08099
265,"Pueblo County, CO",8101,0.96,299505, CO,08101
266,"Rio Blanco County, CO",8103,1.34,416385, CO,08103
267,"Rio Grande County, CO",8105,1.19,124185, CO,08105
268,"Routt County, CO",8107,2.12,284895, CO,08107
269,"Saguache County, CO",8109,1.0,372555, CO,08109
270,"San Juan County, CO",8111,2.45,51135, CO,08111
271,"San Miguel County, CO",8113,1.35,146100, CO,08113
272,"Sedgwick County, CO",8115,1.32,73050, CO,08115
273,"Summit County, CO",8117,1.81,65745, CO,08117
274,"Teller County, CO",8119,1.28,87660, CO,08119
275,"Washington County, CO",8121,1.21,328725, CO,08121
276,"Weld County, CO",8123,1.05,511350, CO,08123
277,"Yuma County, CO",8125,1.33,262980, CO,08125
278,"Fairfield County, CT",9001,3.47,80355, CT,09001
279,"Hartford County, CT",9003,3.42,87660, CT,09003
280,"Litchfield County, CT",9005,3.61,116880, CT,09005
281,"Middlesex County, CT",9007,3.44,51135, CT,09007
282,"New Haven County, CT",9009,3.35,80355, CT,09009
283,"New London County, CT",9011,3.36,102270, CT,09011
284,"Tolland County, CT",9013,3.29,51135, CT,09013
285,"Windham County, CT",9015,3.3,80355, CT,09015
286,"Kent County, DE",10001,3.15,73050, DE,10001
287,"New Castle County, DE",10003,3.19,51135, DE,10003
288,"Sussex County, DE",10005,3.12,116880, DE,10005
289,"District of Columbia, DC",11001,3.1,7305, DC,11001
290,"Alachua County, FL",12001,3.42,109575, FL,12001
291,"Baker County, FL",12003,3.55,87660, FL,12003
292,"Bay County, FL",12005,4.1,116880, FL,12005
293,"Bradford County, FL",12007,3.48,43830, FL,12007
294,"Brevard County, FL",12009,3.78,109575, FL,12009
295,"Broward County, FL",12011,3.64,131490, FL,12011
296,"Calhoun County, FL",12013,4.05,65745, FL,12013
297,"Charlotte County, FL",12015,3.4,65745, FL,12015
298,"Citrus County, FL",12017,3.44,58440, FL,12017
299,"Clay County, FL",12019,3.56,73050, FL,12019
300,"Collier County, FL",12021,3.78,233760, FL,12021
301,"Columbia County, FL",12023,3.54,80355, FL,12023
302,"Dade County, FL",12025,3.85,226455, FL,12025
303,"DeSoto County, FL",12027,3.43,80355, FL,12027
304,"Dixie County, FL",12029,3.58,80355, FL,12029
305,"Duval County, FL",12031,3.56,73050, FL,12031
306,"Escambia County, FL",12033,4.2,65745, FL,12033
307,"Flagler County, FL",12035,3.56,58440, FL,12035
308,"Franklin County, FL",12037,3.75,51135, FL,12037
309,"Gadsden County, FL",12039,3.72,73050, FL,12039
