,County,County Code,Avg Daily Precipitation (mm),# of Observations for Daily Precipitation,State,FIPS
989,"Elliott County, KY",21063,2.99,29220, KY,21063
990,"Estill County, KY",21065,3.24,29220, KY,21065
991,"Fayette County, KY",21067,3.29,36525, KY,21067
992,"Fleming County, KY",21069,3.16,43830, KY,21069
993,"Floyd County, KY",21071,3.04,58440, KY,21071
994,"Franklin County, KY",21073,3.35,29220, KY,21073
995,"Fulton County, KY",21075,3.38,29220, KY,21075
996,"Gallatin County, KY",21077,3.32,14610, KY,21077
997,"Garrard County, KY",21079,3.29,36525, KY,21079
998,"Grant County, KY",21081,3.26,29220, KY,21081
999,"Graves County, KY",21083,3.44,87660, KY,21083
1000,"Grayson County, KY",21085,3.64,65745, KY,21085
1001,"Green County, KY",21087,3.73,36525, KY,21087
1002,"Greenup County, KY",21089,2.8,43830, KY,21089
1003,"Hancock County, KY",21091,3.48,29220, KY,21091
1004,"Hardin County, KY",21093,3.6,73050, KY,21093
1005,"Harlan County, KY",21095,3.31,58440, KY,21095
1006,"Harrison County, KY",21097,3.17,43830, KY,21097
1007,"Hart County, KY",21099,3.77,43830, KY,21099
1008,"Henderson County, KY",21101,3.35,58440, KY,21101
1009,"Henry County, KY",21103,3.5,43830, KY,21103
1010,"Hickman County, KY",21105,3.37,14610, KY,21105
1011,"Hopkins County, KY",21107,3.51,65745, KY,21107
1012,"Jackson County, KY",21109,3.35,43830, KY,21109
1013,"Jefferson County, KY",21111,3.36,43830, KY,21111
1014,"Jessamine County, KY",21113,3.36,21915, KY,21113
1015,"Johnson County, KY",21115,2.95,36525, KY,21115
1016,"Kenton County, KY",21117,3.1,29220, KY,21117
1017,"Knott County, KY",21119,3.14,36525, KY,21119
1018,"Knox County, KY",21121,3.27,43830, KY,21121
1019,"Larue County, KY",21123,3.68,36525, KY,21123
1020,"Laurel County, KY",21125,3.23,43830, KY,21125
1021,"Lawrence County, KY",21127,2.85,51135, KY,21127
1022,"Lee County, KY",21129,3.34,21915, KY,21129
1023,"Leslie County, KY",21131,3.24,43830, KY,21131
1024,"Letcher County, KY",21133,3.09,43830, KY,21133
1025,"Lewis County, KY",21135,3.03,58440, KY,21135
1026,"Lincoln County, KY",21137,3.42,43830, KY,21137
1027,"Livingston County, KY",21139,3.21,43830, KY,21139
1028,"Logan County, KY",21141,3.47,80355, KY,21141
1029,"Lyon County, KY",21143,3.31,29220, KY,21143
1030,"McCracken County, KY",21145,3.24,21915, KY,21145
1031,"McCreary County, KY",21147,3.45,43830, KY,21147
1032,"McLean County, KY",21149,3.4,36525, KY,21149
1033,"Madison County, KY",21151,3.25,58440, KY,21151
1034,"Magoffin County, KY",21153,3.13,36525, KY,21153
1035,"Marion County, KY",21155,3.6,43830, KY,21155
1036,"Marshall County, KY",21157,3.31,36525, KY,21157
1037,"Martin County, KY",21159,3.02,29220, KY,21159
1038,"Mason County, KY",21161,3.03,36525, KY,21161
1039,"Meade County, KY",21163,3.44,36525, KY,21163
1040,"Menifee County, KY",21165,3.52,14610, KY,21165
1041,"Mercer County, KY",21167,3.44,21915, KY,21167
1042,"Metcalfe County, KY",21169,3.7,29220, KY,21169
1043,"Monroe County, KY",21171,3.65,43830, KY,21171
1044,"Montgomery County, KY",21173,3.25,21915, KY,21173
1045,"Morgan County, KY",21175,3.16,43830, KY,21175
1046,"Muhlenberg County, KY",21177,3.56,58440, KY,21177
1047,"Nelson County, KY",21179,3.54,58440, KY,21179
1048,"Nicholas County, KY",21181,3.11,21915, KY,21181
1049,"Ohio County, KY",21183,3.54,65745, KY,21183
1050,"Oldham County, KY",21185,3.5,21915, KY,21185
1051,"Owen County, KY",21187,3.36,36525, KY,21187
1052,"Owsley County, KY",21189,3.37,29220, KY,21189
1053,"Pendleton County, KY",21191,3.08,29220, KY,21191
1054,"Perry County, KY",21193,3.21,36525, KY,21193
1055,"Pike County, KY",21195,3.0,94965, KY,21195
1056,"Powell County, KY",21197,3.23,21915, KY,21197
1057,"Pulaski County, KY",21199,3.42,73050, KY,21199
1058,"Robertson County, KY",21201,2.98,7305, KY,21201
1059,"Rockcastle County, KY",21203,3.37,51135, KY,21203
1060,"Rowan County, KY",21205,3.23,36525, KY,21205
1061,"Russell County, KY",21207,3.47,29220, KY,21207
1062,"Scott County, KY",21209,3.25,36525, KY,21209
1063,"Shelby County, KY",21211,3.53,43830, KY,21211
1064,"Simpson County, KY",21213,3.49,43830, KY,21213
1065,"Spencer County, KY",21215,3.46,21915, KY,21215
1066,"Taylor County, KY",21217,3.7,51135, KY,21217
1067,"Todd County, KY",21219,3.43,43830, KY,21219
1068,"Trigg County, KY",21221,3.38,80355, KY,21221
1069,"Trimble County, KY",21223,3.53,21915, KY,21223
1070,"Union County, KY",21225,3.27,36525, KY,21225
1071,"Warren County, KY",21227,3.61,58440, KY,21227
1072,"Washington County, KY",21229,3.54,43830, KY,21229
1073,"Wayne County, KY",21231,3.51,58440, KY,21231
1074,"Webster County, KY",21233,3.39,51135, KY,21233
1075,"Whitley County, KY",21235,3.25,65745, KY,21235
1076,"Wolfe County, KY",21237,3.34,36525, KY,21237
1077,"Woodford County, KY",21239,3.36,21915, KY,21239
1078,"Acadia Parish, LA",22001,4.29,80355, LA,22001
1079,"Allen Parish, LA",22003,4.42,73050, LA,22003
1080,"Ascension Parish, LA",22005,4.17,36525, LA,22005
1081,"Assumption Parish, LA",22007,4.11,51135, LA,22007
1082,"Avoyelles Parish, LA",22009,3.73,109575, LA,22009
1083,"Beauregard Parish, LA",22011,4.09,138795, LA,22011
1084,"Bienville Parish, LA",22013,3.71,109575, LA,22013
1085,"Bossier Parish, LA",22015,3.48,87660, LA,22015
1086,"Caddo Parish, LA",22017,3.33,102270, LA,22017
1087,"Calcasieu Parish, LA",22019,4.13,138795, LA,22019
1088,"Caldwell Parish, LA",22021,3.6,58440, LA,22021
1089,"Cameron Parish, LA",22023,4.13,153405, LA,22023
1090,"Catahoula Parish, LA",22025,3.55,65745, LA,22025
1091,"Claiborne Parish, LA",22027,3.71,73050, LA,22027
1092,"Concordia Parish, LA",22029,3.68,102270, LA,22029
1093,"De Soto Parish, LA",22031,3.39,102270, LA,22031
1094,"East Baton Rouge Parish, LA",22033,4.2,51135, LA,22033
1095,"East Carroll Parish, LA",22035,3.69,51135, LA,22035
1096,"East Feliciana Parish, LA",22037,4.47,43830, LA,22037
1097,"Evangeline Parish, LA",22039,4.22,87660, LA,22039
1098,"Franklin Parish, LA",22041,3.57,80355, LA,22041
1099,"Grant Parish, LA",22043,3.68,87660, LA,22043
1100,"Iberia Parish, LA",22045,4.25,73050, LA,22045
1101,"Iberville Parish, LA",22047,4.16,80355, LA,22047
1102,"Jackson Parish, LA",22049,3.72,80355, LA,22049
1103,"Jefferson Parish, LA",22051,4.19,29220, LA,22051
1104,"Jefferson Davis Parish, LA",22053,4.26,94965, LA,22053
1105,"Lafayette Parish, LA",22055,4.31,29220, LA,22055
1106,"Lafourche Parish, LA",22057,4.28,124185, LA,22057
1107,"LaSalle Parish, LA",22059,3.63,65745, LA,22059
1108,"Lincoln Parish, LA",22061,3.72,51135, LA,22061
1109,"Livingston Parish, LA",22063,4.25,73050, LA,22063
1110,"Madison Parish, LA",22065,3.69,65745, LA,22065
1111,"Morehouse Parish, LA",22067,3.7,80355, LA,22067
1112,"Natchitoches Parish, LA",22069,3.62,146100, LA,22069
1113,"Orleans Parish, LA",22071,4.01,21915, LA,22071
1114,"Ouachita Parish, LA",22073,3.6,73050, LA,22073
1115,"Plaquemines Parish, LA",22075,3.98,109575, LA,22075
1116,"Pointe Coupee Parish, LA",22077,4.17,65745, LA,22077
1117,"Rapides Parish, LA",22079,3.93,153405, LA,22079
1118,"Red River Parish, LA",22081,3.49,43830, LA,22081
1119,"Richland Parish, LA",22083,3.62,73050, LA,22083
1120,"Sabine Parish, LA",22085,3.57,116880, LA,22085
1121,"St. Bernard Parish, LA",22087,4.1,58440, LA,22087
1122,"St. Charles Parish, LA",22089,4.14,43830, LA,22089
1123,"St. Helena Parish, LA",22091,4.25,58440, LA,22091
1124,"St. James Parish, LA",22093,4.26,36525, LA,22093
1125,"St. John the Baptist Parish, LA",22095,4.15,36525, LA,22095
1126,"St. Landry Parish, LA",22097,4.21,102270, LA,22097
1127,"St. Martin Parish, LA",22099,4.2,94965, LA,22099
1128,"St. Mary Parish, LA",22101,3.94,73050, LA,22101
1129,"St. Tammany Parish, LA",22103,4.2,102270, LA,22103
1130,"Tangipahoa Parish, LA",22105,4.21,94965, LA,22105
1131,"Tensas Parish, LA",22107,3.62,73050, LA,22107
1132,"Terrebonne Parish, LA",22109,3.93,146100, LA,22109
1133,"Union Parish, LA",22111,3.67,102270, LA,22111
1134,"Vermilion Parish, LA",22113,4.34,146100, LA,22113
1135,"Vernon Parish, LA",22115,3.92,138795, LA,22115
1136,"Washington Parish, LA",22117,4.4,80355, LA,22117
1137,"Webster Parish, LA",22119,3.63,73050, LA,22119
1138,"West Baton Rouge Parish, LA",22121,4.19,14610, LA,22121
1139,"West Carroll Parish, LA",22123,3.67,43830, LA,22123
1140,"West Feliciana Parish, LA",22125,4.33,43830, LA,22125
1141,"Winn Parish, LA",22127,3.75,109575, LA,22127
1142,"Androscoggin County, ME",23001,3.34,65745, ME,23001
1143,"Aroostook County, ME",23003,2.85,971565, ME,23003
1144,"Cumberland County, ME",23005,3.41,131490, ME,23005
1145,"Franklin County, ME",23007,3.51,226455, ME,23007
1146,"Hancock County, ME",23009,3.09,204540, ME,23009
1147,"Kennebec County, ME",23011,3.21,138795, ME,23011
1148,"Knox County, ME",23013,3.5,43830, ME,23013
1149,"Lincoln County, ME",23015,3.41,51135, ME,23015
1150,"Oxford County, ME",23017,3.35,292200, ME,23017
1151,"Penobscot County, ME",23019,3.16,533265, ME,23019
1152,"Piscataquis County, ME",23021,3.13,613620, ME,23021
1153,"Sagadahoc County, ME",23023,3.33,29220, ME,23023
1154,"Somerset County, ME",23025,3.24,555180, ME,23025
1155,"Waldo County, ME",23027,3.37,94965, ME,23027
1156,"Washington County, ME",23029,3.37,379860, ME,23029
1157,"York County, ME",23031,3.55,146100, ME,23031
1158,"Allegany County, MD",24001,2.68,65745, MD,24001
1159,"Anne Arundel County, MD",24003,3.14,58440, MD,24003
1160,"Baltimore County, MD",24005,3.29,73050, MD,24005
1161,"Calvert County, MD",24009,3.29,36525, MD,24009
1162,"Caroline County, MD",24011,3.17,36525, MD,24011
1163,"Carroll County, MD",24013,3.14,58440, MD,24013
1164,"Cecil County, MD",24015,3.23,65745, MD,24015
1165,"Charles County, MD",24017,3.19,51135, MD,24017
1166,"Dorchester County, MD",24019,3.23,73050, MD,24019
1167,"Frederick County, MD",24021,3.2,94965, MD,24021
1168,"Garrett County, MD",24023,3.25,94965, MD,24023
1169,"Harford County, MD",24025,3.32,58440, MD,24025
1170,"Howard County, MD",24027,3.07,29220, MD,24027
1171,"Kent County, MD",24029,3.16,36525, MD,24029
1172,"Montgomery County, MD",24031,3.08,58440, MD,24031
1173,"Prince George's County, MD",24033,3.13,80355, MD,24033
1174,"Queen Anne's County, MD",24035,3.15,29220, MD,24035
1175,"St. Mary's County, MD",24037,3.34,36525, MD,24037
1176,"Somerset County, MD",24039,3.1,29220, MD,24039
1177,"Talbot County, MD",24041,3.2,29220, MD,24041
1178,"Washington County, MD",24043,2.92,58440, MD,24043
1179,"Wicomico County, MD",24045,3.19,58440, MD,24045
1180,"Worcester County, MD",24047,3.1,65745, MD,24047
1181,"Baltimore city, MD",24510,3.22,14610, MD,24510
1182,"Barnstable County, MA",25001,3.16,58440, MA,25001
1183,"Berkshire County, MA",25003,3.56,138795, MA,25003
1184,"Bristol County, MA",25005,3.41,73050, MA,25005
1185,"Dukes County, MA",25007,3.23,14610, MA,25007
1186,"Essex County, MA",25009,3.3,65745, MA,25009
1187,"Franklin County, MA",25011,3.44,116880, MA,25011
1188,"Hampden County, MA",25013,3.41,102270, MA,25013
1189,"Hampshire County, MA",25015,3.41,51135, MA,25015
1190,"Middlesex County, MA",25017,3.29,124185, MA,25017
1191,"Nantucket County, MA",25019,2.9,7305, MA,25019
1192,"Norfolk County, MA",25021,3.49,51135, MA,25021
1193,"Plymouth County, MA",25023,3.5,102270, MA,25023
1194,"Suffolk County, MA",25025,3.33,7305, MA,25025
1195,"Worcester County, MA",25027,3.32,226455, MA,25027
1196,"Alcona County, MI",26001,2.06,109575, MI,26001
1197,"Alger County, MI",26003,2.55,138795, MI,26003
1198,"Allegan County, MI",26005,2.75,131490, MI,26005
1199,"Alpena County, MI",26007,2.02,87660, MI,26007
1200,"Antrim County, MI",26009,2.24,65745, MI,26009
1201,"Arenac County, MI",26011,2.18,36525, MI,26011
1202,"Baraga County, MI",26013,2.23,131490, MI,26013
1203,"Barry County, MI",26015,2.56,65745, MI,26015
1204,"Bay County, MI",26017,2.24,51135, MI,26017
1205,"Benzie County, MI",26019,2.37,43830, MI,26019
1206,"Berrien County, MI",26021,2.69,73050, MI,26021
1207,"Branch County, MI",26023,2.55,65745, MI,26023
1208,"Calhoun County, MI",26025,2.57,58440, MI,26025
1209,"Cass County, MI",26027,2.75,87660, MI,26027
1210,"Charlevoix County, MI",26029,2.17,51135, MI,26029
1211,"Cheboygan County, MI",26031,2.1,102270, MI,26031
1212,"Chippewa County, MI",26033,2.2,211845, MI,26033
1213,"Clare County, MI",26035,2.23,58440, MI,26035
1214,"Clinton County, MI",26037,2.38,87660, MI,26037
1215,"Crawford County, MI",26039,2.22,87660, MI,26039
1216,"Delta County, MI",26041,2.18,168015, MI,26041
1217,"Dickinson County, MI",26043,2.0,109575, MI,26043
1218,"Eaton County, MI",26045,2.49,87660, MI,26045
1219,"Emmet County, MI",26047,2.13,65745, MI,26047
1220,"Genesee County, MI",26049,2.32,73050, MI,26049
1221,"Gladwin County, MI",26051,2.21,58440, MI,26051
1222,"Gogebic County, MI",26053,2.33,168015, MI,26053
1223,"Grand Traverse County, MI",26055,2.29,65745, MI,26055
1224,"Gratiot County, MI",26057,2.33,87660, MI,26057
1225,"Hillsdale County, MI",26059,2.66,87660, MI,26059
1226,"Houghton County, MI",26061,2.17,153405, MI,26061
1227,"Huron County, MI",26063,2.21,124185, MI,26063
1228,"Ingham County, MI",26065,2.4,87660, MI,26065
1229,"Ionia County, MI",26067,2.52,87660, MI,26067
1230,"Iosco County, MI",26069,2.14,80355, MI,26069
1231,"Iron County, MI",26071,2.13,146100, MI,26071
1232,"Isabella County, MI",26073,2.32,87660, MI,26073
1233,"Jackson County, MI",26075,2.46,73050, MI,26075
1234,"Kalamazoo County, MI",26077,2.65,58440, MI,26077
1235,"Kalkaska County, MI",26079,2.24,87660, MI,26079
1236,"Kent County, MI",26081,2.6,87660, MI,26081
1237,"Keweenaw County, MI",26083,1.86,80355, MI,26083
1238,"Lake County, MI",26085,2.52,43830, MI,26085
1239,"Lapeer County, MI",26087,2.34,102270, MI,26087
1240,"Leelanau County, MI",26089,2.33,58440, MI,26089
1241,"Lenawee County, MI",26091,2.58,109575, MI,26091
1242,"Livingston County, MI",26093,2.4,87660, MI,26093
1243,"Luce County, MI",26095,2.3,131490, MI,26095
1244,"Mackinac County, MI",26097,2.21,131490, MI,26097
1245,"Macomb County, MI",26099,2.45,58440, MI,26099
1246,"Manistee County, MI",26101,2.41,73050, MI,26101
1247,"Marquette County, MI",26103,2.27,262980, MI,26103
1248,"Mason County, MI",26105,2.4,58440, MI,26105
1249,"Mecosta County, MI",26107,2.47,87660, MI,26107
1250,"Menominee County, MI",26109,2.12,138795, MI,26109
1251,"Midland County, MI",26111,2.23,87660, MI,26111
1252,"Missaukee County, MI",26113,2.21,87660, MI,26113
1253,"Monroe County, MI",26115,2.4,80355, MI,26115
1254,"Montcalm County, MI",26117,2.46,116880, MI,26117
1255,"Montmorency County, MI",26119,2.03,87660, MI,26119
1256,"Muskegon County, MI",26121,2.46,73050, MI,26121
1257,"Newaygo County, MI",26123,2.53,109575, MI,26123
1258,"Oakland County, MI",26125,2.37,94965, MI,26125
1259,"Oceana County, MI",26127,2.47,80355, MI,26127
1260,"Ogemaw County, MI",26129,2.16,87660, MI,26129
1261,"Ontonagon County, MI",26131,2.31,197235, MI,26131
1262,"Osceola County, MI",26133,2.37,58440, MI,26133
1263,"Oscoda County, MI",26135,2.06,87660, MI,26135
1264,"Otsego County, MI",26137,2.27,80355, MI,26137
1265,"Ottawa County, MI",26139,2.64,94965, MI,26139
1266,"Presque Isle County, MI",26141,2.07,73050, MI,26141
1267,"Roscommon County, MI",26143,2.11,87660, MI,26143
1268,"Saginaw County, MI",26145,2.3,109575, MI,26145
1269,"St. Clair County, MI",26147,2.4,87660, MI,26147
1270,"St. Joseph County, MI",26149,2.59,87660, MI,26149
1271,"Sanilac County, MI",26151,2.29,146100, MI,26151
1272,"Schoolcraft County, MI",26153,2.4,182625, MI,26153
1273,"Shiawassee County, MI",26155,2.36,87660, MI,26155
1274,"Tuscola County, MI",26157,2.28,102270, MI,26157
1275,"Van Buren County, MI",26159,2.75,65745, MI,26159
1276,"Washtenaw County, MI",26161,2.48,80355, MI,26161
1277,"Wayne County, MI",26163,2.36,87660, MI,26163
1278,"Wexford County, MI",26165,2.35,87660, MI,26165
1279,"Aitkin County, MN",27001,1.91,284895, MN,27001
1280,"Anoka County, MN",27003,2.19,51135, MN,27003
1281,"Becker County, MN",27005,1.84,182625, MN,27005
1282,"Beltrami County, MN",27007,1.59,489435, MN,27007
1283,"Benton County, MN",27009,2.01,87660, MN,27009
1284,"Big Stone County, MN",27011,1.72,87660, MN,27011
1285,"Blue Earth County, MN",27013,2.25,102270, MN,27013
1286,"Brown County, MN",27015,2.04,73050, MN,27015
1287,"Carlton County, MN",27017,2.1,131490, MN,27017
1288,"Carver County, MN",27019,2.15,51135, MN,27019
1289,"Cass County, MN",27021,1.78,321420, MN,27021
1290,"Chippewa County, MN",27023,1.8,65745, MN,27023
1291,"Chisago County, MN",27025,2.21,73050, MN,27025
1292,"Clay County, MN",27027,1.81,146100, MN,27027
1293,"Clearwater County, MN",27029,1.71,146100, MN,27029
1294,"Cook County, MN",27031,1.85,233760, MN,27031
1295,"Cottonwood County, MN",27033,2.04,94965, MN,27033
1296,"Crow Wing County, MN",27035,1.86,182625, MN,27035
1297,"Dakota County, MN",27037,2.25,87660, MN,27037
1298,"Dodge County, MN",27039,2.33,65745, MN,27039
1299,"Douglas County, MN",27041,1.82,109575, MN,27041
1300,"Faribault County, MN",27043,2.36,109575, MN,27043
1301,"Fillmore County, MN",27045,2.39,131490, MN,27045
1302,"Freeborn County, MN",27047,2.41,109575, MN,27047
1303,"Goodhue County, MN",27049,2.31,87660, MN,27049
1304,"Grant County, MN",27051,1.66,87660, MN,27051
1305,"Hennepin County, MN",27053,2.18,80355, MN,27053
1306,"Houston County, MN",27055,2.48,87660, MN,27055
1307,"Hubbard County, MN",27057,1.82,146100, MN,27057
1308,"Isanti County, MN",27059,2.15,73050, MN,27059
1309,"Itasca County, MN",27061,1.7,423690, MN,27061
1310,"Jackson County, MN",27063,2.14,109575, MN,27063
1311,"Kanabec County, MN",27065,2.13,65745, MN,27065
1312,"Kandiyohi County, MN",27067,2.05,116880, MN,27067
1313,"Kittson County, MN",27069,1.56,182625, MN,27069
1314,"Koochiching County, MN",27071,1.68,423690, MN,27071
1315,"Lac qui Parle County, MN",27073,1.74,138795, MN,27073
1316,"Lake County, MN",27075,2.05,306810, MN,27075
1317,"Lake of the Woods County, MN",27077,1.58,277590, MN,27077
1318,"Le Sueur County, MN",27079,2.24,58440, MN,27079
1319,"Lincoln County, MN",27081,1.87,65745, MN,27081
1320,"Lyon County, MN",27083,1.89,87660, MN,27083
1321,"McLeod County, MN",27085,2.04,73050, MN,27085
1322,"Mahnomen County, MN",27087,1.77,109575, MN,27087
1323,"Marshall County, MN",27089,1.58,262980, MN,27089
1324,"Martin County, MN",27091,2.21,109575, MN,27091
1325,"Meeker County, MN",27093,2.07,94965, MN,27093
1326,"Mille Lacs County, MN",27095,2.06,102270, MN,27095
1327,"Morrison County, MN",27097,1.9,146100, MN,27097
1328,"Mower County, MN",27099,2.43,87660, MN,27099
1329,"Murray County, MN",27101,1.92,109575, MN,27101
1330,"Nicollet County, MN",27103,2.15,80355, MN,27103
1331,"Nobles County, MN",27105,2.02,87660, MN,27105
1332,"Norman County, MN",27107,1.78,131490, MN,27107
1333,"Olmsted County, MN",27109,2.35,73050, MN,27109
1334,"Otter Tail County, MN",27111,1.8,321420, MN,27111
1335,"Pennington County, MN",27113,1.57,58440, MN,27113
1336,"Pine County, MN",27115,2.17,175320, MN,27115
1337,"Pipestone County, MN",27117,1.81,65745, MN,27117
1338,"Polk County, MN",27119,1.65,270285, MN,27119
1339,"Pope County, MN",27121,1.79,109575, MN,27121
1340,"Ramsey County, MN",27123,2.2,21915, MN,27123
1341,"Red Lake County, MN",27125,1.63,73050, MN,27125
1342,"Redwood County, MN",27127,1.96,116880, MN,27127
1343,"Renville County, MN",27129,1.98,116880, MN,27129
1344,"Rice County, MN",27131,2.33,58440, MN,27131
1345,"Rock County, MN",27133,1.89,87660, MN,27133
1346,"Roseau County, MN",27135,1.56,255675, MN,27135
1347,"St. Louis County, MN",27137,1.87,1022700, MN,27137
1348,"Scott County, MN",27139,2.2,65745, MN,27139
1349,"Sherburne County, MN",27141,2.11,43830, MN,27141
1350,"Sibley County, MN",27143,2.11,73050, MN,27143
1351,"Stearns County, MN",27145,2.02,182625, MN,27145
1352,"Steele County, MN",27147,2.32,65745, MN,27147
1353,"Stevens County, MN",27149,1.71,87660, MN,27149
1354,"Swift County, MN",27151,1.76,102270, MN,27151
1355,"Todd County, MN",27153,1.95,146100, MN,27153
1356,"Traverse County, MN",27155,1.71,73050, MN,27155
1357,"Wabasha County, MN",27157,2.39,58440, MN,27157
1358,"Wadena County, MN",27159,1.91,65745, MN,27159
1359,"Waseca County, MN",27161,2.38,65745, MN,27161
1360,"Washington County, MN",27163,2.3,58440, MN,27163
1361,"Watonwan County, MN",27165,2.11,58440, MN,27165
1362,"Wilkin County, MN",27167,1.73,124185, MN,27167
1363,"Winona County, MN",27169,2.39,87660, MN,27169
1364,"Wright County, MN",27171,2.04,94965, MN,27171
1365,"Yellow Medicine County, MN",27173,1.86,102270, MN,27173
1366,"Adams County, MS",28001,3.85,43830, MS,28001
1367,"Alcorn County, MS",28003,3.88,43830, MS,28003
1368,"Amite County, MS",28005,4.13,94965, MS,28005
1369,"Attala County, MS",28007,3.88,80355, MS,28007
1370,"Benton County, MS",28009,3.97,36525, MS,28009
1371,"Bolivar County, MS",28011,3.44,116880, MS,28011
1372,"Calhoun County, MS",28013,3.97,65745, MS,28013
1373,"Carroll County, MS",28015,3.77,65745, MS,28015
1374,"Chickasaw County, MS",28017,3.96,58440, MS,28017
1375,"Choctaw County, MS",28019,3.96,51135, MS,28019
1376,"Claiborne County, MS",28021,3.83,51135, MS,28021
1377,"Clarke County, MS",28023,3.79,65745, MS,28023
1378,"Clay County, MS",28025,3.88,29220, MS,28025
1379,"Coahoma County, MS",28027,3.47,65745, MS,28027
1380,"Copiah County, MS",28029,3.94,73050, MS,28029
1381,"Covington County, MS",28031,3.89,36525, MS,28031
1382,"DeSoto County, MS",28033,3.61,58440, MS,28033
1383,"Forrest County, MS",28035,3.94,65745, MS,28035
1384,"Franklin County, MS",28037,4.08,58440, MS,28037
1385,"George County, MS",28039,4.0,58440, MS,28039
1386,"Greene County, MS",28041,3.83,73050, MS,28041
1387,"Grenada County, MS",28043,3.8,65745, MS,28043
1388,"Hancock County, MS",28045,4.25,36525, MS,28045
1389,"Harrison County, MS",28047,4.29,58440, MS,28047
1390,"Hinds County, MS",28049,3.7,116880, MS,28049
1391,"Holmes County, MS",28051,3.75,102270, MS,28051
1392,"Humphreys County, MS",28053,3.64,36525, MS,28053
1393,"Issaquena County, MS",28055,3.61,43830, MS,28055
1394,"Itawamba County, MS",28057,3.79,65745, MS,28057
1395,"Jackson County, MS",28059,4.32,87660, MS,28059
1396,"Jasper County, MS",28061,3.78,94965, MS,28061
1397,"Jefferson County, MS",28063,3.79,58440, MS,28063
1398,"Jefferson Davis County, MS",28065,4.01,43830, MS,28065
1399,"Jones County, MS",28067,3.76,109575, MS,28067
1400,"Kemper County, MS",28069,3.86,58440, MS,28069
1401,"Lafayette County, MS",28071,3.95,87660, MS,28071
1402,"Lamar County, MS",28073,4.06,51135, MS,28073
1403,"Lauderdale County, MS",28075,3.85,87660, MS,28075
1404,"Lawrence County, MS",28077,3.98,43830, MS,28077
1405,"Leake County, MS",28079,3.64,43830, MS,28079
1406,"Lee County, MS",28081,3.89,58440, MS,28081
1407,"Leflore County, MS",28083,3.5,80355, MS,28083
1408,"Lincoln County, MS",28085,4.05,73050, MS,28085
1409,"Lowndes County, MS",28087,3.78,65745, MS,28087
1410,"Madison County, MS",28089,3.66,87660, MS,28089
1411,"Marion County, MS",28091,4.12,73050, MS,28091
1412,"Marshall County, MS",28093,3.88,87660, MS,28093
1413,"Monroe County, MS",28095,3.78,109575, MS,28095
1414,"Montgomery County, MS",28097,3.92,36525, MS,28097
1415,"Neshoba County, MS",28099,3.72,58440, MS,28099
1416,"Newton County, MS",28101,3.73,87660, MS,28101
1417,"Noxubee County, MS",28103,3.82,65745, MS,28103
1418,"Oktibbeha County, MS",28105,3.93,87660, MS,28105
1419,"Panola County, MS",28107,3.73,102270, MS,28107
1420,"Pearl River County, MS",28109,4.25,87660, MS,28109
1421,"Perry County, MS",28111,3.84,58440, MS,28111
1422,"Pike County, MS",28113,4.19,43830, MS,28113
1423,"Pontotoc County, MS",28115,4.04,43830, MS,28115
1424,"Prentiss County, MS",28117,3.91,43830, MS,28117
1425,"Quitman County, MS",28119,3.6,29220, MS,28119
1426,"Rankin County, MS",28121,3.75,102270, MS,28121
1427,"Scott County, MS",28123,3.82,65745, MS,28123
1428,"Sharkey County, MS",28125,3.56,65745, MS,28125
1429,"Simpson County, MS",28127,3.96,58440, MS,28127
1430,"Smith County, MS",28129,4.01,73050, MS,28129
1431,"Stone County, MS",28131,4.19,58440, MS,28131
1432,"Sunflower County, MS",28133,3.53,65745, MS,28133
1433,"Tallahatchie County, MS",28135,3.55,94965, MS,28135
1434,"Tate County, MS",28137,3.68,43830, MS,28137
1435,"Tippah County, MS",28139,4.0,58440, MS,28139
1436,"Tishomingo County, MS",28141,3.76,58440, MS,28141
1437,"Tunica County, MS",28143,3.44,58440, MS,28143
1438,"Union County, MS",28145,3.99,58440, MS,28145
1439,"Walthall County, MS",28147,4.2,51135, MS,28147
1440,"Warren County, MS",28149,3.7,80355, MS,28149
1441,"Washington County, MS",28151,3.48,80355, MS,28151
1442,"Wayne County, MS",28153,3.97,87660, MS,28153
1443,"Webster County, MS",28155,3.99,51135, MS,28155
1444,"Wilkinson County, MS",28157,4.21,87660, MS,28157
1445,"Winston County, MS",28159,3.89,102270, MS,28159
1446,"Yalobusha County, MS",28161,3.98,58440, MS,28161
1447,"Yazoo County, MS",28163,3.67,102270, MS,28163
1448,"Adair County, MO",29001,2.85,87660, MO,29001
1449,"Andrew County, MO",29003,2.68,43830, MO,29003
1450,"Atchison County, MO",29005,2.47,87660, MO,29005
1451,"Audrain County, MO",29007,2.9,94965, MO,29007
1452,"Barry County, MO",29009,3.38,87660, MO,29009
1453,"Barton County, MO",29011,3.45,58440, MO,29011
1454,"Bates County, MO",29013,3.1,124185, MO,29013
1455,"Benton County, MO",29015,3.23,65745, MO,29015
1456,"Bollinger County, MO",29017,3.47,73050, MO,29017
1457,"Boone County, MO",29019,2.92,87660, MO,29019
1458,"Buchanan County, MO",29021,2.71,65745, MO,29021
1459,"Butler County, MO",29023,3.3,73050, MO,29023
1460,"Caldwell County, MO",29025,2.93,58440, MO,29025
